α,κ,δ,β,NE_found
0.9619,0.4082,0.6861,39.646394072572605,false
0.7091,0.2235,0.1272,45.19561188793142,true
0.0144,0.5957,0.6669,12.73049122747016,true
0.0611,0.1689,0.7883,8.50794131765075,true
0.2548,0.8976,0.0127,13.612656704475262,false
0.991,0.2142,0.5212,3.370294064321607,true
0.6671,0.9238,0.8309,36.19785996155045,false
0.2045,0.0928,0.9483,2.8179227498821073,true
0.7566,0.0052,0.7716,16.232249933762496,true
0.4771,0.2446,0.6841,1.36615469302948,true
0.5844,0.4934,0.1998,4.806648193775178,true
0.2867,0.7581,0.5917,17.61938999720782,true
0.8686,0.1809,0.6127,53.785289477889734,false
0.8374,0.2538,0.9738,49.15605336268389,true
0.0824,0.4615,0.6482,5.612521029693157,false
0.6388,0.9748,0.3621,2.7593633973762812,true
0.4683,0.9683,0.9641,12.948759602923785,false
0.3232,0.4853,0.6334,8.174340166926543,true
0.993,0.9746,0.5457,14.76116875528736,false
0.1017,0.8306,0.5642,1.9174573279326612,true
0.7635,0.7997,0.5646,11.133961145065307,false
0.4009,0.492,0.5468,21.34889538652299,false
0.3139,0.7647,0.4967,2.4302642590013805,true
0.0989,0.4817,0.7779,1.5326526617240188,true
0.6863,0.1701,0.3042,7.538324933661922,true
0.9225,0.3595,0.2178,1.1606729892090855,true
0.5911,0.7382,0.1662,12.29263128086462,true
0.2993,0.7445,0.9533,10.475089396040554,false
0.0146,0.758,0.3774,1.2853100843311953,true
0.2876,0.0343,0.968,1.1664908867784396,true
0.4494,0.9095,0.7304,10.402019812179008,true
0.5585,0.3668,0.3397,4.62279730898038,true
0.0162,0.8345,0.8316,20.573421000055713,true
0.7668,0.4546,0.4319,1.8202975923459082,true
0.5112,0.8082,0.629,11.034205070448087,true
0.9927,0.9297,0.4876,6.560061644898295,true
0.7731,0.2764,0.8642,3.5966397255692817,false
0.7553,0.2887,0.1399,18.28351803152819,false
0.4972,0.6387,0.0979,53.839101668978834,true
0.2738,0.0075,0.6978,17.098658326639587,true
0.7009,0.9309,0.2393,27.743456206334802,true
0.7727,0.9704,0.2799,1.2373846512436006,true
0.3924,0.0222,0.6992,24.094895184754105,true
0.4731,0.5445,0.2957,1.6274266093785854,true
0.7991,0.7911,0.6864,19.648480360868867,true
0.0841,0.0661,0.1966,5.663261709520492,true
0.3747,0.6462,0.517,1.7332530178673953,true
0.1115,0.6789,0.1107,2.6617931174716434,true
0.8147,0.8402,0.7061,14.805518753287723,true
0.6507,0.6582,0.3276,6.665866815413448,true
0.6841,0.949,0.1236,7.366922148160475,true
0.2012,0.0816,0.2746,1.717723727336547,true
0.6466,0.0568,0.2573,7.893187139516049,true
0.5222,0.3083,0.6997,17.305078269181145,true
0.951,0.455,0.3709,30.386547681544123,false
0.7986,0.2305,0.214,40.28583829005519,true
0.9282,0.6746,0.8077,1.3688897365473756,true
0.8865,0.7655,0.8949,1.7211626125301187,true
